time,angle
0,4.77912422969055
1,4.84198124269153
2,5.45277694991249
3,6.37548782668456
4,7.41043232234698
5,8.42654115280844
6,9.36008127102525
7,10.188650812592
8,10.9002039910859
9,11.475744200841
10,11.8896167777018
11,12.1206141217707
12,12.1641783947978
13,12.0388422509566
14,11.7840348168182
15,11.4506166187336
16,11.0888323969946
17,10.7393758019391
18,10.4301759003303
19,10.1781770422531
20,9.99311077825349
21,9.88032101826693
22,9.84102564068409
23,9.87125156117931
24,9.96211267255237
25,10.1023610948363
26,10.2815404877081
27,10.4910771675758
28,10.7223972898454
29,10.9635461256132
30,11.1971795200036
31,11.4021624669923
32,11.5583787828488
33,11.652110063441
34,11.6792583519226
35,11.6458173447413
36,11.5661280703799
37,11.4592570591498
38,11.3440253098123
39,11.2342349398533
40,11.1361653988655
41,11.0489950819446
42,10.9676187450489
43,10.8869609267189
44,10.8071632798689
45,10.7377705293364
46,10.6985254059186
47,10.7154512859328
48,10.8140439637627
49,11.0129068929097
50,11.3210488225738
51,11.7394101761771
52,12.2654489253248
53,12.8989166375012
54,13.6478641973803
55,14.5338582285824
56,15.5954235333956
57,16.8876523193557
58,18.476276285721
59,20.4261163686749
60,22.7860577533078
61,25.574282130304
62,28.7682440858325
63,32.3034096799506
64,36.0809257596205
65,39.9826405494961
66,43.8888687679801
67,47.6944056916573
68,51.3177361655059
69,54.7015292053348
70,57.8053167049784
71,60.5950787521317
72,63.0355982585924
73,65.0906299057706
74,66.730194983748
75,67.9380581434504
76,68.7127004965542
77,69.0622577537698
78,68.9978183210237
79,68.528694756455
80,67.6601296928607
81,66.3927011376256
82,64.7224439446756
83,62.6413611355588
84,60.139325373967
85,57.2095046177975
86,53.8574610421
87,50.1105668620741
88,46.0222281628154
89,41.6674605879593
90,37.1320604517062
91,32.5019485076578
92,27.8591387839523
93,23.2856126250096
94,18.8715814886383
95,14.7227390203799
96,10.9615057074685
97,7.71960091170151
98,5.11982335912553
99,3.24749115228064
100,2.11884721006161
