time,angle
0,7.42832084050468
1,7.57664676630753
2,7.84903142677175
3,8.3209040719512
4,9.05072094198978
5,10.0523826224358
6,11.2789257134123
7,12.6270994080907
8,13.9614667572963
9,15.1480931680909
10,16.0847007981446
11,16.7187515474314
12,17.0476097522452
13,17.1035636131614
14,16.9328670723565
15,16.5814824046423
16,16.0898614024783
17,15.49167171731
18,14.813652280079
19,14.0783297090572
20,13.310475983062
21,12.5432177138534
22,11.8176975306586
23,11.1737758654194
24,10.6369876974285
25,10.2112997896707
26,9.88196526781937
27,9.62513999021529
28,9.41639067207461
29,9.23452369841861
30,9.06183426381172
31,8.88361219748762
32,8.68911015337918
33,8.47450543257056
34,8.24546804185188
35,8.01629183077362
36,7.80475040794251
37,7.62585799124502
38,7.48868206097329
39,7.39781686684699
40,7.35731783528619
41,7.3731850543402
42,7.45255793898539
43,7.60084633577929
44,7.81932868578686
45,8.10487288066919
46,8.45173180961906
47,8.85490066785057
48,9.31442345227995
49,9.83962369483217
50,10.4514863054017
51,11.1805095325661
52,12.058559065364
53,13.1052322171177
54,14.3127213188178
55,15.6342941681494
56,16.9822520656662
57,18.2374974708813
58,19.2706287870052
59,19.9693539752148
60,20.2644179077749
61,20.1460409233578
62,19.6644351476938
63,18.915529927011
64,18.0171718692658
65,17.0847335244363
66,16.2124000296165
67,15.4635331122092
68,14.8693437196308
69,14.4347856678244
70,14.1477026257513
71,13.9878857006364
72,13.932554083388
73,13.9574628687878
74,14.0352613483575
75,14.1344288834061
76,14.2208902319775
77,14.261643511464
78,14.2282796756791
79,14.0992807624601
80,13.8613264115733
81,13.510642277434
82,13.0535753289915
83,12.5049147525129
84,11.8834692398367
85,11.2077483162278
86,10.4948676121201
87,9.7630636841817
88,9.03569816887974
89,8.34386028316858
90,7.72501956163174
91,7.21679571673976
92,6.84880682947753
93,6.63698351159952
94,6.58129237415117
95,6.66571435929036
96,6.85940026632673
97,7.12013666250952
98,7.40148100011194
99,7.66434932409135
100,7.89068163249704
