time,angle
0,-0.388213823982104
1,-0.266886000480037
2,0.213091388855705
3,0.908097176547447
4,1.70255473233169
5,2.53141018795345
6,3.38408781422676
7,4.29058043558254
8,5.2951121556668
9,6.42766483879054
10,7.68309800160276
11,9.01381938079742
12,10.3380111869512
13,11.5591649508441
14,12.5896615594346
15,13.3690045236023
16,13.8722601029799
17,14.1087534157741
18,14.1146828975019
19,13.9433549821709
20,13.6546134236942
21,13.3050950503174
22,12.9402818889554
23,12.5897110453154
24,12.2659444528629
25,11.9669367725111
26,11.6810097828238
27,11.3926589317635
28,11.0880759026102
29,10.7593857826987
30,10.4068658250565
31,10.0386508634786
32,9.66786572887168
33,9.30819895029121
34,8.96928620269899
35,8.65391333312818
36,8.35849739632688
37,8.07683189157587
38,7.80485964276748
39,7.54403717016612
40,7.30245471085591
41,7.0941495813031
42,6.93724685718295
43,6.85121735676684
44,6.85408939281204
45,6.96059417809069
46,7.18191098761833
47,7.52678435339828
48,8.00322178618384
49,8.61991577661972
50,9.38683741743271
51,10.3151500126031
52,11.4171635411792
53,12.7072172072226
54,14.2036052184636
55,15.9300851423389
56,17.9146550842657
57,20.1836474068728
58,22.7515458506251
59,25.6098139035112
60,28.720489377316
61,32.0199634800716
62,35.4318073865871
63,38.8818936591443
64,42.3072305922942
65,45.6558298214651
66,48.8806771228572
67,51.9335263191418
68,54.7626155845511
69,57.3149878100111
70,59.54118830792
71,61.3998991838535
72,62.8609718741818
73,63.9063254710172
74,64.5287608844685
75,64.7291971255284
76,64.5138840335576
77,63.8926646715491
78,62.8786322024639
79,61.4889455916299
80,59.7459258335863
81,57.6772220467659
82,55.3144538541526
83,52.6904367822038
84,49.8358613082366
85,46.7763450037701
86,43.5305119315162
87,40.109744771389
88,36.5199111310121
89,32.7654641524905
90,28.8559266561166
91,24.8147180051952
92,20.6891499500012
93,16.5583927357168
94,12.5356492301957
95,8.76095488179311
96,5.38563420627354
97,2.55152818316023
98,0.368906261322461
99,-1.10268800172568
100,-1.86807496272272
